,description,Product Description,ASIN,Manufacturer
84,"[' Gift your shoulders and back the comfort of the AmazonBasics - Casual Backpack/Office Bag  ', ' It has 2 large compartments and 2 side pockets  ', ' Well-padded interior that keeps your laptop safe  ', ' Enough space for your other daily essentials like chargers, wallet, power bank, etc.  ', ' Compact and sleek design  ', ' Well-cushioned shoulder straps  ', ' Dimensions: LxWXH: 47 X 33 X 15 cm  ', ' Weight: 0.460 grams  ']",,,
85,[],,,
86,"[' PRACTICAL AND ELEGANT:Made with Oxford Fabric, a stylish laptop bag for daily travel and short trips; Pocket Description: Utility Pocket; Age Range Description: Adult; Style Name: Travel Backpacks; Special Features: Laptop Compartment  ', ' Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Travel Backpacks  ', ' Water Resistance Level: Water Resistant; Compartment Description: Greater Than 17 Inches  ']","FATMUG Retric Convertible Laptop BagFATMUG Retric Convertible Laptop BagAt Fatmug Designs, our prime focus is quality and convenience. Crafted with the premium oxford fabric and sturdy hardware,FATMUG Retric Convertible Laptop BagStay Organized at all timesMain Back CompartmentThoughtfully designed spacious main compartment with dedicated space for Laptop, tablet and other important documents.Main Front CompartmentNeatly designed main front compartment of the bag has dedicated space for books/notebooks/diary and brackets for pen to keep everything organized.Spacious Outer Zippers6 spacious outer zipper pockets ensure you have enough space and easy access to all your frequently needed items.Read moreFeatures of FATMUG Retric Convertible Laptop BagHidable Backpack StrapsThe backpack straps and handles can be hidden to convert it into a messenger/satchel bag as per need and convenience.Strong Detachable Dog HooksTested for 30 kgs of weight, these robust dog hooks make the straps  hide-able and convert the bag to a briefcase when neededSmart Retractable HandlesRetractable handles stay flat on the surface when not needed. The handles on the top and the side give you the option of carrying the bag vertically or horizontally like a briefcaseSmooth, Stylish and Quality ZippersSmooth durable zippers allow easy access to inside things without getting stuck and are built to last a lifetimeRead moreMultipurpose DesignDaily Use Laptop BagpackThe Fabric of the bag has water and wind-resisting properties as well as prevents accumulation of dirt between fibers making it ideal for daily rough useOffice UseMultiple pockets to organise your stuff with all Laptop sizes easily fitting into the main compartment and the rich texture of the bag makes it a quintessential office bagBusiness TripsWith focus on utility, space and style, this can be your ideal business trip bag or for other weekender/overnight journeys.Read moreRead moreFATMUG Convertible Laptop BackpackFATMUG Crossbody BagpackFATMUG NewGen Tech BagpackFATMUG Sling Buddy Messenger BagFATMUG Foldable BagpackCapacity20 Litres20 Litres22 Litres9 Litres25 LitresDimensions41.9 x 31.7 x 14 cm48 x 30 x 14 cm48.2 x 30.4 x 15.2 cm (L x B x H)33 x 23 x 11.5 cmUnfolded: 43x29x15 cm | Folded: 23x18x2.5 cmWeight900 Grams490 Grams1400 grams580 Grams270 GramsNo. of Compartments/Pockets2 Main Compartments, 2 Internal Pockets, 6 External Pockets1 Main Laptop Compartment, 3 External Pockets, 1 Secret PocketDedicated Laptop Compartment, 1 Main Tech Organizer Pocket, 5 External Quick Access Pockets1 Main Compartment, 4 Internal Pockets, 2 External Pockets1 Main Compartment, 3 External Pockets, 1 Internal PocketAvailable ColorsLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueLight Grey, Dark Grey, Navy BlueBlack, Grey, Red, Navy Blue, Sky Blue",,‎Fatmug Designs
87,"[' school bag  ', ' backpack  ', ' college bag  ', ' Style Name: Casual; Water Resistance Level: Water Resistant; Strap Type: Cross-Body; Closure Type: Zipper; Age Range Description: Big Kid; Special Features: Laptop Compartment; Pattern Name: Solid  ', ' ']",,B09TRZ9CL2,"bluecraft in telangana hyderabad, bluecraft in telangana hyderabad"
88,"[' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material   ', ' Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Right sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warranty   ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)   ', ' Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh   ', ' Closure Type: Buckle; Water Resistance Level: Waterproof; Pattern Name: Solid; Material Type: Polyester; Age Range Description: Adult; Lining Description: Polyester; Strap Type: Shoulder Strap; Style Name: Casual   ']",,B0B68Y7H6F,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
89,"[' Care Instructions: Hand Wash Only  ', "" Laptop & Tablet Pocket: 4 Zippered compartments with a padded 16'' laptop compartment. Keep your laptop & tablet secure in its own convenient pocket.  "", ' Comprehensive Features: Essentials organizer keeps power cords, chargers and business cards neat and accessible. Mesh side pocket holds a water bottle or umbrella.  ', ' Optimum Comfort with Functionality: Padded grab handle provides maximum comfort when carrying the backpack by hand. Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters & Airflow back padding keeps the wearer cool.  ', ' Dimensions & Material: Size 17 x 33 x 43 cm Capacity 22 L Material Polyester  ', ' 3-Year Wenger Warranty Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.  ']","Wenger retained its distinct identity after the takeover by Victorinox Group in 2005. The precision, functionality, thoughtfulness & attention to detail is what underlines the Wenger collection of watches and travel gear which draws on a winning combination of Swiss engineering & reliability. Created in modern designs & using high-grade material, Wenger products are for those who want to count on a Swiss brand at a reasonable cost.We invariably focus on quality, always innovating and adding much joy to ensure that our designs will become your best buddy while travelling. So, if you are looking for a lightweight yet durable suitcase, a backpack or a travel accessory with several cool features and extra packing space, we promise you’ll find one that ticks all of your boxes within our range! So, let's start packing, shall we?Whether packing for everyday routine, vacation time, college or office, or a getaway trip with your friends, our backpacks ensure you're well-equipped and on-trend. We have a quality backpack for the style-savvy traveller in you. Ergonomically contoured shoulder straps. Fully padded laptop compartment. Numerous storage and accessory pockets. Comfortably soar hands-free throughout your day with all your belongings safely stowed in your Wenger backpack. So be ready to roll, because we've got a bag for you!What sets us apart?Walk in style with this trendy backpack!With a stylish design and plenty of storage, this Wenger Quadma Backpack combines fashion with function. You can safely store your 15"" laptop in the padded compartment, while the adjustable shoulder straps and padded back panel provide comfort while you're on the go.Laptop PocketPadded 16"" laptop compartment. Separate pockets to hold pens and your phone or other accessories.Genius essentials organizeEssentials organizer keeps power cords, chargers and business cards neat and accessible. Mesh side pocket holds a water bottle or an umbrella.Read moreKey FeaturesOptimum ComfortAdjustable shoulder straps and padded back panel for maximum comfort.Dimensions & MaterialSize 17 x 33 x 43 cmCapacity 22 LMaterial PolyesterAGILE. UP-TO-DATE. SWISS HERITAGE.Wenger, a renowned Swiss Company since 1893, has a history developed by a passion that combines the reliability & precision of Swiss quality with innovative designs. The brand retained its distinct identity after the takeover by Victorinox in 2005.Read more",B09KV8PG66,"Victorinox, Victorinox India Pvt Ltd."
90,[],,,
91,[],,,
92,"[' Fit Type: Western  ', ' MATERIAL: High Density Premium Nylon, Water Resistance. Dimension: L x W x H (46 x 30 x 14 cm). Capacity: 25 Litres. No. of compartment: 1  ', ' MAIN COMPARTMENT: A separate padded Laptop (size upto 15.6 inch) and tablet sleeves. Two Zippered pockets for small items. 180 degree opening creates enough space for carrying books or one day cloth. Small water bottle elastic pocket also attached. FRONT STASH POCKET, ANTI THEFT POCKET and USB CHARGING PORT  ']",,,
93,[],,,
94,[],,,
95,[],,,
96,[],,,
97,[],,,
98,"[' Care Instructions: Machine Wash  ', ' ✈【Flight Approved Carry on Backpack】: Size of travel backpack: 17*11.5*7 inches. Capacity: 30L. This luggage backpack meets the allowed maximum size of most IATA flights and also fits in the overhead compartment and the underseat in flight. The portable opening facilitates you to quickly pass the airport security check. It also has built-in elastic bands to keep your clothes from falling out. This travel backpack is great for flight travel, camping, hiking, college, etc.  ', ' ✈【Large Capacity & Well Organized】: The travel weekend backpack with many compartments is meet the needs of daily & trips. It has a spacious main compartment to store lots including 4 to 6 clothes, shoes, books, and so many other items. One laptop compartment holds laptops up to 17.3 inches. One wet pocket for toiletries and wet items. A front compartment with various pockets can store small items. One side pocket for easy access essentials like a water bottle or umbrella.  ', ' ✈【Practical & Comfortable Design】: The handles are set on top and one side, which allows an easy switch between backpack and suitcase. Breathable sponge mesh design on the backside and shoulder straps help for the air convection, ventilation, and heat elimination and help relieve the stress from your shoulder.  ', ' ✈【Durable & Multipurpose】: The personal item travel bag is made of high-quality water-repellent fabric, lightweight, waterproof, and anti-wrinkle. Sturdy explosion-proof branded zipper and upgraded reinforced stitching make it last longer. This stylish luggage backpack can be used as a laptop backpack, outdoor travel backpack, business backpack, college daypack. If you have any questions, please feel free to contact us, we will give you a satisfactory solution within 24 hours.  ']","Previous pageThere is a new breed of aspiring Hustlers out there. Young, visionary, audacious.For whom making money isn't as important as making a dent in the universe.They are in constant pursuit of the big idea and the next revolution.GoHustleManners Maketh YouAccessories define himProfessionalism is his mantraLeadership is his strengthGoHustleBecause YOU are limitlessGoHustleHustle Beats Talent When Talent Doesn't HustleCITY Slim BackpackHALO Slim BackpackVegan Leather AlphaBravo SlingNext pageCarry-On Travel BackpackOffering you an easy trip: GoHustle Business Class backpack is specifically designed with multiple carrying options like BACKPACK, MESSENGER, and BRIEFCASE style.Good Gift for TravelAre you planning a nice trip with your family? Do you want to surprise your parents? You definitely want to find a backpack specially designed for travel or for daily use. This is a great traveling gift, GoHustle travel carry-on backpack will be a good choice. Ideal best gift for business travelers. Also a practical gift for your family or sweetheart.AtGoHustleWeprovide the highest quality backpacks at the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live a passionate life; exploring, creating, and living life in the moment.Service & SupportFor anyuct issue please feel free to reach us, our Service rep will reply within 24 hours. We always stand behind our products and strive for 100% customer approval.Hideaway Shoulder StrapsFlight Approved SizeOrganizer CompartmentRoomy Main CompartmentRead more",B0BM99GZ2K,"RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp), RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)"
99,"[' CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks   ', ' Strap Type: Shoulder Strap; Age Range Description: Adult; Pattern Name: Solid; Lining Description: Polyester; Style Name: Casual; Material Type: Polyester   ']",,B0B7ND6LP1,
100,[],,,
101,[],,,
102,[],,,
103,[],,,
104,[],,,
105,[],,,
106,[],,,
107,[],,,
108,"[' VOLT Laptop Backpack for Travel, Business and Work with Lots of Space & Pockets --- Separate laptop compartment that can accommodate laptops up to 15.6 inches, and large main space with store books, wallets, clothes and other daily necessities. Multifunctional pockets in the main compartment can hold pens, cards, keys, etc. to keep your belongings in order. The external front zipper and two side pockets are also good choices for water bottle or umbrella.  ', ' The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm  ', ' Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ', ' Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ', ' Made In India: TABELITO VOLT Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Tabelito Delta casual backpack comes with 6 month of warranty  ']",AVAILABLE IN THREE COLORSSTURDY BUILT WITH WATER RESISTANT FABRICLARGE COMPARTMENTS WITH ORGANISERSERGONOMICALLY DESIGNED FOR SUPERIOR COMFORTTabelito laptop casual backpack GreyTabelito laptop casual backpack BlackTabelito laptop casual backpack BlueTabelito volt casual laptop backpack BlueBennett laptop casual backpack  BlueBennett laptop casual backpack  BlackTabelito,,‎‎Tabelito Trade India
109,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,   ', ' Water Resistant; Warranty type: Manufacturer, 1 year domestic warranty   ', ' For Our Business & Fashionable Style Day Backpack   ', ' Age Range Description: Adult; Closure Type: Zipper   ', ' Warranty Description: 1 Year Manufecturing; Style Name: Modern; Pattern Name: Solid; Compartment Description: Up To 17 Inches   ']","HEROZ Combo of Hammer & Young Gym bgas Unisex Nylon 45 L+22 L Travel Laptop BackpackThe HEROZ Combo Hammer & Young basic backpack and gym bag ensures complete safety to your 17.3 inch laptop with high quality build and wide range of built-in features, With Dual Side Pocket In the in side of the bag, featuring a protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidental caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. It also features highly useful for motorists, cyclists, walking, The inner material is made of polyster. This backpack is also water-resistant.Special Features:Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,Read moreMaterial: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy BlueRead moreRead moreRead more",,‎A. H. Creation
110,"[' Please reach out to our customer care at +91 8691800800 or email at customercare@uppercase.co.in for warranty registration and any query regarding the product. Handcrafted with care and made up of premium quality robust material   ', ' Wrinkle free bag and 3x more water resistant with Rainproof zippers; Trolley sleeve to securely place the bags on the luggage; Right sized with sturdy stitching; Dimension: (26.5 cm x 13.3 cm x 38.2); Warranty: 750 days international warranty   ', ' GRS certified for sustainability; The GRS (Global Recycled Standard) is intended for use with any product that contains at least 50% Recycled Material (License No. CMPY-158596)   ', ' Roll top wide opening for easy access; Padded laptop compartment fits up to 15”, Front Access pocket & Back padding with Air mesh   ', ' Closure Type: Buckle; Water Resistance Level: Waterproof; Pattern Name: Solid; Material Type: Polyester; Age Range Description: Adult; Lining Description: Polyester; Strap Type: Shoulder Strap; Style Name: Casual   ']",,B0B68Y7H6F,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
111,"[' Care Instructions: Hand Wash Only  ', "" Laptop & Tablet Pocket: 4 Zippered compartments with a padded 16'' laptop compartment. Keep your laptop & tablet secure in its own convenient pocket.  "", ' Comprehensive Features: Essentials organizer keeps power cords, chargers and business cards neat and accessible. Mesh side pocket holds a water bottle or umbrella.  ', ' Optimum Comfort with Functionality: Padded grab handle provides maximum comfort when carrying the backpack by hand. Quickly tighten or loosen the shoulder straps to your desired fit with these convenient thumb-ring adjusters & Airflow back padding keeps the wearer cool.  ', ' Dimensions & Material: Size 17 x 33 x 43 cm Capacity 22 L Material Polyester  ', ' 3-Year Wenger Warranty Our products undergo strict quality controls & rigorous testing standards. Nevertheless, should you encounter a problem with your product, we are offering you a 3-year warranty.  ']","Wenger retained its distinct identity after the takeover by Victorinox Group in 2005. The precision, functionality, thoughtfulness & attention to detail is what underlines the Wenger collection of watches and travel gear which draws on a winning combination of Swiss engineering & reliability. Created in modern designs & using high-grade material, Wenger products are for those who want to count on a Swiss brand at a reasonable cost.We invariably focus on quality, always innovating and adding much joy to ensure that our designs will become your best buddy while travelling. So, if you are looking for a lightweight yet durable suitcase, a backpack or a travel accessory with several cool features and extra packing space, we promise you’ll find one that ticks all of your boxes within our range! So, let's start packing, shall we?Whether packing for everyday routine, vacation time, college or office, or a getaway trip with your friends, our backpacks ensure you're well-equipped and on-trend. We have a quality backpack for the style-savvy traveller in you. Ergonomically contoured shoulder straps. Fully padded laptop compartment. Numerous storage and accessory pockets. Comfortably soar hands-free throughout your day with all your belongings safely stowed in your Wenger backpack. So be ready to roll, because we've got a bag for you!What sets us apart?Walk in style with this trendy backpack!With a stylish design and plenty of storage, this Wenger Quadma Backpack combines fashion with function. You can safely store your 15"" laptop in the padded compartment, while the adjustable shoulder straps and padded back panel provide comfort while you're on the go.Laptop PocketPadded 16"" laptop compartment. Separate pockets to hold pens and your phone or other accessories.Genius essentials organizeEssentials organizer keeps power cords, chargers and business cards neat and accessible. Mesh side pocket holds a water bottle or an umbrella.Read moreKey FeaturesOptimum ComfortAdjustable shoulder straps and padded back panel for maximum comfort.Dimensions & MaterialSize 17 x 33 x 43 cmCapacity 22 LMaterial PolyesterAGILE. UP-TO-DATE. SWISS HERITAGE.Wenger, a renowned Swiss Company since 1893, has a history developed by a passion that combines the reliability & precision of Swiss quality with innovative designs. The brand retained its distinct identity after the takeover by Victorinox in 2005.Read more",B09KV8PG66,"Victorinox, Victorinox India Pvt Ltd."
112,[],,,
113,[],,,
114,[],,,
115,[],,,
116,[],,,
117,[],,,
118,[],,,
119,[],,,
120,"[' Care Instructions: Machine Wash  ', ' ✈【Flight Approved Carry on Backpack】: Size of travel backpack: 17*11.5*7 inches. Capacity: 30L. This luggage backpack meets the allowed maximum size of most IATA flights and also fits in the overhead compartment and the underseat in flight. The portable opening facilitates you to quickly pass the airport security check. It also has built-in elastic bands to keep your clothes from falling out. This travel backpack is great for flight travel, camping, hiking, college, etc.  ', ' ✈【Large Capacity & Well Organized】: The travel weekend backpack with many compartments is meet the needs of daily & trips. It has a spacious main compartment to store lots including 4 to 6 clothes, shoes, books, and so many other items. One laptop compartment holds laptops up to 17.3 inches. One wet pocket for toiletries and wet items. A front compartment with various pockets can store small items. One side pocket for easy access essentials like a water bottle or umbrella.  ', ' ✈【Practical & Comfortable Design】: The handles are set on top and one side, which allows an easy switch between backpack and suitcase. Breathable sponge mesh design on the backside and shoulder straps help for the air convection, ventilation, and heat elimination and help relieve the stress from your shoulder.  ', ' ✈【Durable & Multipurpose】: The personal item travel bag is made of high-quality water-repellent fabric, lightweight, waterproof, and anti-wrinkle. Sturdy explosion-proof branded zipper and upgraded reinforced stitching make it last longer. This stylish luggage backpack can be used as a laptop backpack, outdoor travel backpack, business backpack, college daypack. If you have any questions, please feel free to contact us, we will give you a satisfactory solution within 24 hours.  ']","Previous pageThere is a new breed of aspiring Hustlers out there. Young, visionary, audacious.For whom making money isn't as important as making a dent in the universe.They are in constant pursuit of the big idea and the next revolution.GoHustleManners Maketh YouAccessories define himProfessionalism is his mantraLeadership is his strengthGoHustleBecause YOU are limitlessGoHustleHustle Beats Talent When Talent Doesn't HustleCITY Slim BackpackHALO Slim BackpackVegan Leather AlphaBravo SlingNext pageCarry-On Travel BackpackOffering you an easy trip: GoHustle Business Class backpack is specifically designed with multiple carrying options like BACKPACK, MESSENGER, and BRIEFCASE style.Good Gift for TravelAre you planning a nice trip with your family? Do you want to surprise your parents? You definitely want to find a backpack specially designed for travel or for daily use. This is a great traveling gift, GoHustle travel carry-on backpack will be a good choice. Ideal best gift for business travelers. Also a practical gift for your family or sweetheart.AtGoHustleWeprovide the highest quality backpacks at the most reasonable cost so every customer can find a backpack they actually love to carry. To create products that inspire people to get out and live a passionate life; exploring, creating, and living life in the moment.Service & SupportFor anyuct issue please feel free to reach us, our Service rep will reply within 24 hours. We always stand behind our products and strive for 100% customer approval.Hideaway Shoulder StrapsFlight Approved SizeOrganizer CompartmentRoomy Main CompartmentRead more",B0BM99GZ2K,"RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp), RCX Brands, Delhi - 110055. +91-9315775050 (Whatsapp)"
121,"[' CONSUMER: Suitable for men, women, students, boys & girls, can be used as school, college, office or day travelling backpacks   ', ' Strap Type: Shoulder Strap; Age Range Description: Adult; Pattern Name: Solid; Lining Description: Polyester; Style Name: Casual; Material Type: Polyester   ']",,B0B7ND6LP1,
122,[],,,
123,[],,,
124,[],,,
125,"[' One zippered compartment suitable for keys/napkins/wallet/mobile etc.  ', ' One inside pocket with two small sleeves for credit card/passport etc. This fanny pack is suitable for only 250ml bottle.  ', ' This fanny pack is water resistant.  ', ' Premium YKK Japanese Zippers& sliders with an adjustable waist strap.  ', ' Comes with The F Gear promise of quality and durability.  ']",,,
126,[],,,
127,"[' Easy Backpack to carry  ', ' Convenient Handles  ', ' Easy to fold and Store  ', ' Sturdy and Durable  ', ' Closure Type: Zipper; Strap Type: Adjustable; Handle Type: Web Handle  ']",,,
128,[],,,
129,"[' Padded, Comfortable Shoulder Strap  ', ' Easy access front pocket  ', ' Soft Grip handles  ', ' Stylish Design  ']",,,
130,"[' VOLT Laptop Backpack for Travel, Business and Work with Lots of Space & Pockets --- Separate laptop compartment that can accommodate laptops up to 15.6 inches, and large main space with store books, wallets, clothes and other daily necessities. Multifunctional pockets in the main compartment can hold pens, cards, keys, etc. to keep your belongings in order. The external front zipper and two side pockets are also good choices for water bottle or umbrella.  ', ' The Backpack has a padded laptop compartment that can fit 15.6 inch laptop. It can also accommodate essentials such as a Lunch box, Charger, Tablet, Books, Power Bank, Wallet, and Sunglass. Dimension(L*W*D): 44*32*16 cm  ', ' Ergonomic Design: Thick cushioning around the shoulders and on the back panel makes the backpack super light and comfortable on the move. Water Resistant Material: Advanced IPX4 coating on the material ensures resistance to water entering from any direction.  ', ' Multi-Level Organizer: The backpack has a front zipper pocket for the ID card, Sanitizer, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band. Spacious second compartment for all your electronics.  ', ' Made In India: TABELITO VOLT Casual Backpack is fully manufactured in India and pass through stringent quality tests and checks.The Tabelito Delta casual backpack comes with 6 month of warranty  ']",AVAILABLE IN THREE COLORSSTURDY BUILT WITH WATER RESISTANT FABRICLARGE COMPARTMENTS WITH ORGANISERSERGONOMICALLY DESIGNED FOR SUPERIOR COMFORTTabelito laptop casual backpack GreyTabelito laptop casual backpack BlackTabelito laptop casual backpack BlueTabelito volt casual laptop backpack BlueBennett laptop casual backpack  BlueBennett laptop casual backpack  BlackTabelito,,‎‎Tabelito Trade India
131,"[' Material: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy Blue, Special Features: Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,   ', ' Water Resistant; Warranty type: Manufacturer, 1 year domestic warranty   ', ' For Our Business & Fashionable Style Day Backpack   ', ' Age Range Description: Adult; Closure Type: Zipper   ', ' Warranty Description: 1 Year Manufecturing; Style Name: Modern; Pattern Name: Solid; Compartment Description: Up To 17 Inches   ']","HEROZ Combo of Hammer & Young Gym bgas Unisex Nylon 45 L+22 L Travel Laptop BackpackThe HEROZ Combo Hammer & Young basic backpack and gym bag ensures complete safety to your 17.3 inch laptop with high quality build and wide range of built-in features, With Dual Side Pocket In the in side of the bag, featuring a protective padding, you can rest assured that the laptop inside it will be well cushioned from any accidental caused when you bump into any surface. As it is made of nylon, can withstand abrasions and is long lasting. It also features highly useful for motorists, cyclists, walking, The inner material is made of polyster. This backpack is also water-resistant.Special Features:Back Padding, Chest Strap, Earphone Cord Support, Hip Belt, Integrated Rain Cover, Laptop Compartment, Telescope Handle, Water Bottle / Umbrella Pouch, Zip Closure, Padded Handles, Shoulder Strap,Read moreMaterial: Nylon, Inner Material: Polyester, Capacity: 50 Liters, Color: Grey & Navy BlueRead moreRead moreRead more",,‎A. H. Creation
132,"[' Padded laptop compartment fits up to 14 inch laptop, Front Access pocket & Back padding with Air mesh  ']",,B0B68ZS5G1,"Acefour Accessories Pvt. Ltd., Acefour Accessories Pvt. Ltd. , Lodha Supremus Corp. Tower, Unit 1202,12th Floor,Saki Vihar road, Chandivali, Tunga Village, Opp. MTNL office, Andheri E, Mumbai -400072, Maharashtra, India"
133,"[' BACKPACK FOR PROFESSIONALS: Backpack with Laptop Compartment and organization for Books & other items. A spacious main compartments & one Front Zipper Pocket. A great backpack for working professionals and students   ', ' DURABLE MATERIAL: Extra-large backpack: 18x12x06 (inches), Capacity: 22L separate laptop compartment hold for 15.6 inches Laptop. The Large backpack made from high quality polyester fabric. Laptop pocket designed for your laptops to give them maximum security. It comes with Pen Pocket and Power Bank Pocket which aids in organising your things systematically   ', ' SMART & EFFICIENT: This big backpack is crafted specially for professional needs. This bag accommodate your daily essentials with ease. It can easily carry your work from office to home while giving you some space for your needs too. Most suitable for working professional along with college students.   ', ' COMFORTABLE: This backpack comes with comfortable wide breathable shoulder straps well-padded materials that helps relieve the stress from your shoulder. It has adjustable chest straps for equal weight-distribution. Along with compact-squeezing straps that lets you squeeze your, while making it look slimmer, providing extra strength for heavy articles too.; WARRANTY: Cosmus Branded Backpack comes with One year Manufacturer Warranty.; Age Range Description: Adult   ', ' Pattern Name: Solid   ']","Read moreRead moreKey HighlightsStrong & comfortable Shoulder LashesCosmus bags provides a strong and comfortably padded  shoulder straps makes the bag feel lighter & more breathable. While  giving comfortable support to your back and shoulder.Spacious StorageCosmus bags understands your needs, that’s why we have 1  Large Compartments + 1 Easy access front Pocket with organizer section  & 2 mesh side pocketDedicated PocketsThe Cosmus Bags deeply looks into all your needs , outer  mesh pockets for water bottle , umbrella etc . A bag pack for all men  & women.Read moreKey HighlightsStrong Built QualityCosmus  crafts bag inspired from you, hence the bags are  made with premium quality providing you maximum strength. Without  compromising on your comfort, while the inner Fabric has strong PU  coating for durability and to keep it light weighted inside.Well ProtectedThe Cosmus bags have kept the safety a head always, so Well cushioned laptop compartment for up to 14 inch laptop.Water ResistanceCosmus bags uses the finest materials, hence durable PU  fabric with Water & Heat resistant coating outside while protection  your bag & essentials from moisture or getting wet.Read moreCosmus BagsCosmus ACE Casual Navy 45 cm 22 Ltr Laptop Backpack BagCosmus Bags crafted this trendy Laptop backpack with a  padded laptop section. It is created ideally for Corporates &  collage goers.The Main compartment has ample amount o Cosmus Branded  Backpack comes with One year Manuf space for other requirements like  files, notebook, etc.The front compart is specially crafted for quick access for your small things.Water Resistance PU Coated Durable Fabric with padded back section for comfortable carryOther FeaturesDimensions: 18 x 12 x 06 [inches] (WxHxD)Weight: 780 gmsCapacity : 22 LitersCountry of Origin: INDIA. Made In IndiaRead more",,‎COSMUSBAGS PVT.LTD.
134,[],,,
135,[],,,
136,"[' PERFECT SIZE & STORAGE SPACE: Laptop backpack with perfect size to hold things and your 15.6 inch laptop or 15 inch, 14 inch Laptop. Convenient main pockets for iPad, charger, binders, books, clothes, ect. Inside pockets keep your wallet, phone. school bag for girls / bags for women / kids school bag / college bags for boys / laptop backpack .  ', ' COMPREHENSIVE WORKSPACE: Front two slanted pocket perfect for quick finds such as your ID for work, f gear laptop bags . keys for open door, two side pockets for water bottle and compact umbrella make your items organized. it can be use as school college bags for girls / backpack for men /backpacks for women . you can use it as a gift for men . bags for travelling  ', ' COMFY & STURDY: Made from WATER RESISTANT and DURABLE ECO-FRIENDLY nylon fabric with Two PADDED shoulder straps, relieve the stress of shoulder, simple but comfortable back design offer your great back support, making your working, journey and travelling more convenient wherever you go. you can use it such as office bag for men . office bag for women .  ', ' EFFORTLESS CARRYING: Light-weight Carrying and perfect for business traveling or trip, weekend getaways, back to school, outdoor activities and college bag for men etc;  ', ' MULTIPURPOSE & SIZE: 20 x 12.2 x 5.7 Inch, perfect to throw under your seat on an airplane when you are traveling or on business trip. Suitable for back to school college, can be easily stored. Good choose for a business laptop backpack, work backpack, laptop bag for men and women, also will be a good gifts for women, gifts for men, gifts for boyfriend or girlfriend and gift bag for travelers.  ', ' Water Resistance Level: water_resistant  ']",,,
137,[],,,
138,[],,,
139,[],,,
140,[],,,
